NUM_ORIGIN,NUM_SUB,AREA_ORIGIN,AREA_SUB,AREA_SUB_ORIGINAL,COMPRIMENTO_ORIGIN,COMPRIMENTO_SUB,LARGURA_ORIGIN,LARGURA_SUB,ALTURA_ORIGIN,ALTURA_SUB,CIRCULARIDADE_SUB,REGIAO_P,MEDIA_REGIAO_P,REGIAO_N,MEDIA_REGIAO_N,REGIAO_S,MEDIA_REGIAO_S,REGIAO_L,MEDIA_REGIAO_L,REGIAO_O,MEDIA_REGIAO_O,REGIAO_NO,MEDIA_REGIAO_NO,REGIAO_NL,MEDIA_REGIAO_NL,REGIAO_SO,MEDIA_REGIAO_SO,REGIAO_SL,MEDIA_REGIAO_SL,QTD_REGIOES
10,40,131072,494,99.62310791015625,1024,19,512,19,256,26,0.7539822334153232,Claro,0.7489878542510121,Claro,0.9919028340080972,Claro,0.562753036437247,Claro,0.6709401709401709,Claro,0.8681318681318682,Claro,0.978021978021978,Claro,1.0,Claro,0.7252747252747253,Claro,0.7521367521367521,9
10,41,131072,544,99.5849609375,1024,32,512,32,256,17,0.6461024175585184,Claro,0.8731617647058824,Claro,1.0,Claro,0.67578125,Claro,0.9485294117647058,Claro,0.7058823529411765,Claro,1.0,Claro,1.0,Claro,0.875,Claro,0.859375,9
10,42,131072,169,99.87106323242188,1024,13,512,13,256,13,0.5576791811327106,Claro,0.9526627218934911,Claro,0.8717948717948718,Claro,0.7692307692307693,Claro,0.9487179487179487,Claro,0.717948717948718,Claro,0.8333333333333334,Claro,1.0,Claro,0.9722222222222222,Claro,0.6944444444444444,9
10,43,131072,231,99.82376098632812,1024,21,512,21,256,11,0.4945092248477005,Claro,0.9956709956709957,Claro,0.9809523809523809,Claro,0.8857142857142857,Claro,0.6818181818181818,Claro,0.990909090909091,Claro,1.0,Claro,0.96,Claro,0.88,Claro,0.94,9
10,44,131072,15,99.98855590820312,1024,5,512,5,256,3,0.45896148087353555,Claro,1.0,Claro,1.0,Claro,0.8,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,9
10,45,131072,594,99.54681396484375,1024,22,512,22,256,27,0.6280359289118386,Claro,0.9764309764309764,Claro,1.0,Claro,0.8566433566433567,Claro,0.8148148148148148,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Claro,0.9440559440559441,9
10,46,131072,9520,92.73681640625,1024,85,512,85,256,112,0.6523011048922748,Claro,0.6087184873949579,Cinza,0.4357142857142857,Cinza,0.5283613445378151,Escuro,0.6428571428571429,Cinza,0.6985544217687075,Claro,0.6186224489795918,Escuro,0.7857142857142857,Cinza,0.6900510204081632,Claro,0.8214285714285714,3
10,47,131072,42,99.96795654296875,1024,21,512,21,256,2,0.24942701597499303,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,9
10,48,131072,54,99.95880126953125,1024,9,512,9,256,6,0.502654809814204,Claro,1.0,Claro,0.9259259259259259,Claro,1.0,Claro,1.0,Claro,1.0,Claro,0.6666666666666666,Claro,1.0,Claro,1.0,Claro,1.0,9
10,49,131072,288,99.7802734375,1024,18,512,18,256,16,0.6534784936963027,Claro,0.8506944444444444,Cinza,0.6597222222222222,Claro,1.0,Claro,0.9722222222222222,Iguais,0,Iguais,0,Claro,0.6527777777777778,Iguais,0,Claro,1.0,5
10,50,131072,1888,98.5595703125,1024,59,512,59,256,32,0.6982028682212914,Claro,0.8246822033898306,Claro,0.9565677966101694,Claro,0.9216101694915254,Claro,0.7446120689655172,Claro,0.990301724137931,Claro,0.8556034482758621,Claro,0.6012931034482759,Claro,0.9482758620689655,Claro,0.7370689655172413,9
10,51,131072,1881,98.56491088867188,1024,57,512,57,256,33,0.7100898110223797,Claro,0.8208399787347156,Claro,0.956140350877193,Claro,0.9385964912280702,Claro,0.7846320346320347,Claro,0.9891774891774892,Claro,0.8660714285714286,Claro,0.6517857142857143,Claro,0.9419642857142857,Claro,0.7232142857142857,9
10,52,131072,153,99.88327026367188,1024,17,512,17,256,9,0.49691463344073394,Claro,0.9803921568627451,Claro,0.8823529411764706,Claro,1.0,Claro,1.0,Claro,0.9722222222222222,Claro,0.90625,Claro,1.0,Claro,1.0,Claro,1.0,9
10,53,131072,400,99.69482421875,1024,20,512,20,256,20,0.6885494347036317,Cinza,0.64,Claro,0.655,Cinza,0.755,Cinza,0.815,Cinza,0.715,Claro,0.58,Cinza,0.68,Cinza,0.51,Cinza,0.83,7
10,54,131072,756,99.4232177734375,1024,28,512,28,256,27,0.7831279319445159,Claro,0.6759259259259259,Cinza,0.9368131868131868,Claro,0.7060439560439561,Cinza,0.5555555555555556,Claro,0.6428571428571429,Cinza,0.5769230769230769,Cinza,0.8516483516483516,Cinza,0.5494505494505495,Claro,0.9010989010989011,4
10,55,131072,1188,99.0936279296875,1024,36,512,36,256,33,0.7612939784754809,Cinza,0.5294612794612794,Escuro,0.5017361111111112,Claro,0.5538194444444444,Escuro,0.6582491582491582,Claro,0.5808080808080808,Cinza,0.8263888888888888,Escuro,0.9340277777777778,Claro,0.7083333333333334,Escuro,0.7083333333333334,2
10,56,131072,336,99.74365234375,1024,21,512,21,256,16,0.7650949168377273,Claro,0.9404761904761905,Claro,1.0,Claro,0.9583333333333334,Claro,0.93125,Claro,0.99375,Claro,0.85,Claro,1.0,Claro,1.0,Claro,0.9875,9
10,57,131072,187,99.85733032226562,1024,17,512,17,256,11,0.7493339620169532,Claro,0.893048128342246,Claro,1.0,Claro,1.0,Claro,0.8977272727272727,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,Claro,1.0,9
