NUM_ORIGIN,NUM_SUB,NUM_SUB_SUB,AREA_ORIGIN,AREA_SUB,AREA_SUB_SUB,COMPRIMENTO_ORIGIN,COMPRIMENTO_SUB,COMPRIMENTO_SUB_SUB,LARGURA_ORIGIN,LARGURA_SUB,LARGURA_SUB_SUB,ALTURA_ORIGIN,ALTURA_SUB,ALTURA_SUB_SUB,CIRCULARIDADE_SUB,CIRCULARIDADE_SUB_SUB,AREA_SUB_ORIGINAL,AREA_SUBSUB_ORIGINAL,AREA_SUBSUB_SUB_IMAGEM,REGIAO_P,REGIAO_N,REGIAO_S,REGIAO_L,REGIAO_O,REGIAO_NO,REGIAO_NL,REGIAO_SO,REGIAO_SL,MEDIA_REGIAO_P,MEDIA_REGIAO_N,MEDIA_REGIAO_S,MEDIA_REGIAO_L,MEDIA_REGIAO_O,MEDIA_REGIAO_NO,MEDIA_REGIAO_NL,MEDIA_REGIAO_SO,MEDIA_REGIAO_SL
11,56,3,131072,8148,0,2048,84,8.0,512,84,0,256,97,4,0,0.0,0.062164306640625,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,56,4,131072,8148,20,2048,84,18.82842707633972,512,84,2,256,97,10,0,0.0,0.062164306640625,0.000152587890625,0.002454590083456063,Claro,Claro,Cinza,Claro,Claro,Claro,Claro,Cinza,Cinza,3.8,3.0,1.8,0.8333333333333334,3.0,1.3333333333333333,2.0,0.8,1.0
11,56,5,131072,8148,156,2048,84,56.72792184352875,512,84,12,256,97,13,0,0.0019524778707629225,0.062164306640625,0.001190185546875,0.01914580265095729,Claro,Claro,Claro,Claro,Cinza,Cinza,Claro,Claro,Claro,9.4,6.363636363636363,35.5,15.4,7.222222222222222,3.2222222222222223,8.75,7.0,11.666666666666666
11,56,6,131072,8148,0,2048,84,10.0,512,84,0,256,97,5,0,0.0,0.062164306640625,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,56,7,131072,8148,6,2048,84,12.828427076339722,512,84,1,256,97,6,0,0.0,0.062164306640625,4.57763671875e-05,0.0007363770250368188,Claro,Claro,Claro,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,2.5,0.6666666666666666,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,56,8,131072,8148,266,2048,84,108.97056245803833,512,84,7,256,97,38,0,0.033864249660191054,0.062164306640625,0.0020294189453125,0.03264604810996564,Claro,Claro,Claro,Claro,Claro,Claro,Claro,Claro,Claro,6.151515151515151,11.818181818181818,6.071428571428571,9.25,8.071428571428571,4.4,1.7,6.4,8.333333333333334
11,56,9,131072,8148,18,2048,84,19.656854152679443,512,84,2,256,97,9,0,0.5203574969632394,0.062164306640625,0.0001373291015625,0.0022091310751104565,Cinza,Claro,Cinza,Claro,Claro,Claro,Cinza,Claro,Claro,0.8461538461538461,1.25,0.75,0.8333333333333334,2.6666666666666665,1.0,0.75,0.6,1.5
11,56,10,131072,8148,18,2048,84,19.656854152679443,512,84,2,256,97,9,0,0.5203574969632394,0.062164306640625,0.0001373291015625,0.0022091310751104565,Cinza,Claro,Cinza,Claro,Claro,Claro,Cinza,Claro,Claro,0.9166666666666666,1.25,0.7142857142857143,0.7142857142857143,2.6666666666666665,1.0,0.6,0.6,1.0
11,56,11,131072,8148,6,2048,84,8.828427076339722,512,84,2,256,97,3,0,0.8061450660379307,0.062164306640625,4.57763671875e-05,0.0007363770250368188,Cinza,Cinza,Cinza,Claro,Claro,Claro,Claro,Claro,Claro,0.5,0.0,0.3333333333333333,0.5,1.0,0.0,0.0,0.0,0.0
11,56,12,131072,8148,9,2048,84,7.656854152679443,512,84,3,256,97,3,0,0.8573716241035623,0.062164306640625,6.866455078125e-05,0.0011045655375552283,Claro,Claro,Cinza,Claro,Claro,Claro,Claro,Claro,Claro,1.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.0,0.0,0.0,0.0
11,56,13,131072,8148,1541,2048,84,304.56854152679443,512,84,23,256,97,67,0,0.00013546895377588696,0.062164306640625,0.01175689697265625,0.18912616593028964,Cinza,Indefinido,Cinza,Cinza,Claro,Indefinido,Indefinido,Claro,Cinza,13.671052631578947,-1.0,39.61538461538461,19.074074074074073,16.63157894736842,-1.0,-1.0,17.714285714285715,34.166666666666664
12,2,0,131072,216,15,2048,18,9.656854152679443,512,18,5,256,12,3,0,0.0,0.00164794921875,0.00011444091796875,0.06944444444444445,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,2.8,1.0,1.0,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.0,0.3333333333333333,0.0
12,2,1,131072,216,0,2048,18,0.0,512,18,0,256,12,0,0,0,0.00164794921875,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,2,2,131072,216,0,2048,18,0.0,512,18,0,256,12,0,0,0,0.00164794921875,0.0,0.0,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,Indefinido,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,3,0,131072,3725,2304,2048,149,264.7695519924164,512,149,128,256,25,18,0,0.00035851206745523195,0.02841949462890625,0.017578125,0.6185234899328859,Escuro,Claro,Escuro,Claro,Claro,Claro,Escuro,Claro,Escuro,38.875,15.892857142857142,12.2,3.5,59.5,23.8,0.6666666666666666,5.666666666666667,0.0
12,4,0,131072,9202,117,2048,86,57.21320307254791,512,86,9,256,107,13,0,0.005758489752983032,0.0702056884765625,0.00089263916015625,0.012714627254944577,Claro,Claro,Cinza,Cinza,Claro,Claro,Cinza,Claro,Cinza,3.4,7.0,0.8,4.25,7.285714285714286,11.5,1.2142857142857142,1.0,0.6
12,4,1,131072,9202,40,2048,86,23.899494767189026,512,86,4,256,107,10,0,0.011000246777443285,0.0702056884765625,0.00030517578125,0.0043468811128015645,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,4.375,1.5833333333333333,1.8333333333333333,1.9,2.111111111111111,1.125,1.8,3.0,1.8
12,4,2,131072,9202,595,2048,86,79.01219260692596,512,86,35,256,107,17,0,0.0050322434727576495,0.0702056884765625,0.00453948974609375,0.06465985655292328,Cinza,Cinza,Claro,Cinza,Claro,Cinza,Cinza,Cinza,Cinza,7.833333333333333,16.41176470588235,10.6,28.8,33.0,21.166666666666668,16.875,15.0,15.0
12,4,3,131072,9202,2940,2048,86,220.75230705738068,512,86,49,256,107,60,0,0.0027076259080965844,0.0702056884765625,0.022430419921875,0.31949576179091504,Claro,Claro,Claro,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,73.63636363636364,41.42857142857143,27.583333333333332,77.07142857142857,61.23529411764706,37.93333333333333,53.9,20.285714285714285,53.8
12,4,4,131072,9202,234,2048,86,39.55634891986847,512,86,13,256,107,18,0,0.5421022860450412,0.0702056884765625,0.0017852783203125,0.025429254509889154,Cinza,Claro,Cinza,Cinza,Cinza,Cinza,Claro,Cinza,Cinza,4.9,25.5,6.105263157894737,5.631578947368421,15.142857142857142,5.75,8.166666666666666,5.75,17.666666666666668
12,8,0,131072,2592,240,2048,81,162.48528122901917,512,81,80,256,32,3,0,0.0004759724449060968,0.019775390625,0.0018310546875,0.09259259259259259,Claro,Claro,Claro,Claro,Indefinido,Indefinido,Claro,Indefinido,Cinza,5.967741935483871,3.380952380952381,2.25,1.0,-1.0,-1.0,0.0,-1.0,0.0
