NUM_ORIGIN,NUM_SUB,AREA_ORIGIN,AREA_SUB,AREA_SUB_ORIGINAL,COMPRIMENTO_ORIGIN,COMPRIMENTO_SUB,LARGURA_ORIGIN,LARGURA_SUB,ALTURA_ORIGIN,ALTURA_SUB,CIRCULARIDADE_SUB,QTD_REGIOES_ESCURO,QTD_REGIOES_CINZA,QTD_REGIOES_CLARO,QTD_REGIOES_IGUAIS,QTD_REGIOES_INDEFINIDO,MEDIA_REGIAO_P,MEDIA_REGIAO_N,MEDIA_REGIAO_S,MEDIA_REGIAO_L,MEDIA_REGIAO_O,MEDIA_REGIAO_NO,MEDIA_REGIAO_NL,MEDIA_REGIAO_SO,MEDIA_REGIAO_SL,QTD_REGIOES
3,7,131072,396,99.6978759765625,1024,18,512,18,256,22,0.7775441817634738,0,9,0,0,0,0.9797979797979798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
3,8,131072,42,99.96795654296875,1024,7,512,7,256,6,0.5398724973779763,0,9,0,0,0,0.9761904761904762,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,9
3,9,131072,96,99.9267578125,1024,12,512,12,256,8,0.4404437478139555,3,6,0,0,0,0.8958333333333334,0.9583333333333334,0.8541666666666666,0.9166666666666666,0.5,0.9583333333333334,1.0,0.9166666666666666,875,6
3,10,131072,176,99.86572265625,1024,16,512,16,256,11,0.758464070002474,0,9,0,0,0,0.9886363636363636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
3,11,131072,176,99.86572265625,1024,16,512,16,256,11,0.758464070002474,0,9,0,0,0,0.9886363636363636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
3,12,131072,4240,96.76513671875,1024,80,512,80,256,53,0.3110992657901854,0,8,1,0,0,0.8004716981132075,0.9304347826086956,0.9721153846153846,0.8477987421383648,0.9971698113207547,0.9836956521739131,0.9884057971014493,0.9932692307692308,0.4846153846153846,8
3,13,131072,1100,99.1607666015625,1024,44,512,44,256,25,0.17911401700503135,1,5,0,3,0,0.8327272727272728,0.5454545454545454,1.0,0.9963636363636363,0,0,0.8090909090909091,0,1.0,5
3,1,131072,156,99.8809814453125,1024,13,512,13,256,12,0.2308198239097211,1,8,0,0,0,1.0,0.8974358974358975,1.0,1.0,0.9861111111111112,0.6388888888888888,1.0,1.0,1.0,8
30,2,131072,60,99.9542236328125,1024,10,512,10,256,6,0.3207566655644319,1,8,0,0,0,1.0,0.8333333333333334,1.0,1.0,0.6,1.0,0.9333333333333333,1.0,1.0,8
30,3,131072,1014,99.22637939453125,1024,39,512,39,256,26,0.2962568463392796,0,8,1,0,0,0.9043392504930966,0.6646942800788954,1.0,1.0,0.6846153846153846,0.49743589743589745,1.0,1.0,1.0,8
